isac_x,isac_y
0.0,170.0
0.0,190.0
0.0,210.0
0.0,230.0
0.0,250.0
0.0,270.0
0.0,290.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
0.0,300.0
